/home/xjh/research/AI_xjh_research/llm_quant_factory/fakequant/datautils.py:160: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(cache_file)
Loading model ...
/data/xjh/model_weight/opt/opt-2.7b
Starting ...
Ready.
0 self_attn.k_proj
Quantizing ...
time 0.80
error 33619.96484375
0 self_attn.v_proj
Quantizing ...
time 0.31
error 9447.21484375
0 self_attn.q_proj
Quantizing ...
time 0.31
error 33587.08984375
0 self_attn.out_proj
Quantizing ...
time 0.30
error 64.15447998046875
0 fc1
Quantizing ...
time 0.31
error 32938.73828125
0 fc2
Quantizing ...
time 1.33
error 295.56536865234375
1 self_attn.k_proj
Quantizing ...
time 0.66
error 25158.453125
1 self_attn.v_proj
Quantizing ...
time 0.31
error 1547.80322265625
1 self_attn.q_proj
Quantizing ...
time 0.30
error 17549.47265625
1 self_attn.out_proj
Quantizing ...
time 0.30
error 1.9386417865753174
1 fc1
Quantizing ...
time 0.31
error 30476.75
1 fc2
Quantizing ...
time 1.30
error 212.00286865234375
2 self_attn.k_proj
Quantizing ...
time 0.65
error 30589.529296875
2 self_attn.v_proj
Quantizing ...
time 0.30
error 1825.819580078125
2 self_attn.q_proj
Quantizing ...
time 0.30
error 24744.87109375
2 self_attn.out_proj
Quantizing ...
time 0.30
error 1.0731394290924072
2 fc1
Quantizing ...
time 0.31
error 34700.671875
2 fc2
Quantizing ...
time 1.31
error 223.893798828125
3 self_attn.k_proj
Quantizing ...
time 0.67
error 25696.451171875
3 self_attn.v_proj
Quantizing ...
time 0.31
error 2391.859375
3 self_attn.q_proj
Quantizing ...
time 0.30
error 24742.38671875
3 self_attn.out_proj
Quantizing ...
time 0.31
error 3.379500389099121
3 fc1
Quantizing ...
time 0.31
error 37616.5703125
3 fc2
Quantizing ...
time 1.31
error 239.52334594726562
4 self_attn.k_proj
Quantizing ...
time 0.65
error 31658.93359375
4 self_attn.v_proj
Quantizing ...
time 0.30
error 3487.07666015625
4 self_attn.q_proj
Quantizing ...
time 0.30
error 30276.49609375
4 self_attn.out_proj
Quantizing ...
time 0.30
error 12.179295539855957
4 fc1
Quantizing ...
time 0.30
error 40550.96875
4 fc2
Quantizing ...
time 1.29
error 267.9143981933594
5 self_attn.k_proj
Quantizing ...
time 0.65
error 33434.3984375
5 self_attn.v_proj
Quantizing ...
time 0.30
error 4566.802734375
5 self_attn.q_proj
Quantizing ...
time 0.30
error 34402.70703125
5 self_attn.out_proj
Quantizing ...
time 0.30
error 27.912033081054688
5 fc1
Quantizing ...
time 0.30
error 46382.078125
5 fc2
Quantizing ...
time 1.30
error 287.40374755859375
6 self_attn.k_proj
Quantizing ...
time 0.65
error 30036.60546875
6 self_attn.v_proj
Quantizing ...
time 0.30
error 5894.35400390625
6 self_attn.q_proj
Quantizing ...
time 0.30
error 36327.1953125
6 self_attn.out_proj
Quantizing ...
time 0.30
error 45.255435943603516
6 fc1
Quantizing ...
time 0.30
error 55053.5
6 fc2
Quantizing ...
time 1.30
error 328.3939208984375
7 self_attn.k_proj
Quantizing ...
time 0.65
error 27995.8359375
7 self_attn.v_proj
Quantizing ...
time 0.30
error 7102.8857421875
7 self_attn.q_proj
Quantizing ...
time 0.31
error 40085.46875
7 self_attn.out_proj
Quantizing ...
time 0.30
error 40.39869689941406
7 fc1
Quantizing ...
time 0.31
error 63348.4609375
7 fc2
Quantizing ...
time 1.31
error 386.08526611328125
8 self_attn.k_proj
Quantizing ...
time 0.66
error 43364.71875
8 self_attn.v_proj
Quantizing ...
time 0.31
error 9451.927734375
8 self_attn.q_proj
Quantizing ...
time 0.30
error 53806.953125
8 self_attn.out_proj
Quantizing ...
time 0.30
error 77.1737060546875
8 fc1
Quantizing ...
time 0.30
error 74269.484375
8 fc2
Quantizing ...
time 1.30
error 476.2852783203125
9 self_attn.k_proj
Quantizing ...
time 0.66
error 50221.05859375
9 self_attn.v_proj
Quantizing ...
time 0.32
error 11575.4013671875
9 self_attn.q_proj
Quantizing ...
time 0.31
error 62095.546875
9 self_attn.out_proj
Quantizing ...
time 0.31
error 101.03987121582031
9 fc1
Quantizing ...
time 0.32
error 88829.984375
9 fc2
Quantizing ...
time 1.35
error 605.1375122070312
10 self_attn.k_proj
Quantizing ...
time 0.67
error 65600.1640625
10 self_attn.v_proj
Quantizing ...
time 0.31
error 13664.685546875
10 self_attn.q_proj
Quantizing ...
time 0.31
error 71610.90625
10 self_attn.out_proj
Quantizing ...
time 0.31
error 192.8953857421875
10 fc1
Quantizing ...
time 0.31
error 114153.3125
10 fc2
Quantizing ...
time 1.30
error 935.7610473632812
11 self_attn.k_proj
Quantizing ...
time 0.66
error 72173.015625
11 self_attn.v_proj
Quantizing ...
time 0.30
error 16500.171875
11 self_attn.q_proj
Quantizing ...
time 0.30
error 73904.390625
11 self_attn.out_proj
Quantizing ...
time 0.30
error 280.579833984375
11 fc1
Quantizing ...
time 0.30
error 138510.359375
11 fc2
Quantizing ...
time 1.29
error 1200.48876953125
12 self_attn.k_proj
Quantizing ...
time 0.66
error 78426.25
12 self_attn.v_proj
Quantizing ...
time 0.30
error 19958.77734375
12 self_attn.q_proj
Quantizing ...
time 0.30
error 76207.84375
12 self_attn.out_proj
Quantizing ...
time 0.30
error 368.05133056640625
12 fc1
Quantizing ...
time 0.30
error 164766.046875
12 fc2
Quantizing ...
time 1.29
error 1594.440185546875
13 self_attn.k_proj
Quantizing ...
time 0.66
error 89001.5078125
13 self_attn.v_proj
Quantizing ...
time 0.30
error 22817.369140625
13 self_attn.q_proj
Quantizing ...
time 0.30
error 85636.1015625
13 self_attn.out_proj
Quantizing ...
time 0.30
error 589.5159912109375
13 fc1
Quantizing ...
time 0.30
error 196384.34375
13 fc2
Quantizing ...
time 1.29
error 2184.49951171875
14 self_attn.k_proj
Quantizing ...
time 0.63
error 94677.203125
14 self_attn.v_proj
Quantizing ...
time 0.30
error 27826.845703125
14 self_attn.q_proj
Quantizing ...
time 0.30
error 89907.796875
14 self_attn.out_proj
Quantizing ...
time 0.31
error 718.2255859375
14 fc1
Quantizing ...
time 0.30
error 226375.25
14 fc2
Quantizing ...
time 1.30
error 2832.81884765625
15 self_attn.k_proj
Quantizing ...
time 0.63
error 112338.890625
15 self_attn.v_proj
Quantizing ...
time 0.30
error 31705.19140625
15 self_attn.q_proj
Quantizing ...
time 0.30
error 105912.171875
15 self_attn.out_proj
Quantizing ...
time 0.30
error 1225.2198486328125
15 fc1
Quantizing ...
time 0.31
error 253452.140625
15 fc2
Quantizing ...
time 1.29
error 3795.957763671875
16 self_attn.k_proj
Quantizing ...
time 0.63
error 117055.265625
16 self_attn.v_proj
Quantizing ...
time 0.30
error 37826.5703125
16 self_attn.q_proj
Quantizing ...
time 0.30
error 110481.5
16 self_attn.out_proj
Quantizing ...
time 0.31
error 1595.4169921875
16 fc1
Quantizing ...
time 0.30
error 285357.1875
16 fc2
Quantizing ...
time 1.29
error 5839.87548828125
17 self_attn.k_proj
Quantizing ...
time 0.63
error 117723.6484375
17 self_attn.v_proj
Quantizing ...
time 0.30
error 46798.6328125
17 self_attn.q_proj
Quantizing ...
time 0.30
error 111070.25
17 self_attn.out_proj
Quantizing ...
time 0.30
error 2305.529296875
17 fc1
Quantizing ...
time 0.30
error 321772.6875
17 fc2
Quantizing ...
time 1.29
error 7556.1123046875
18 self_attn.k_proj
Quantizing ...
time 0.61
