/home/xjh/research/AI_xjh_research/llm_quant_factory/fakequant/datautils.py:160: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(cache_file)
/home/xjh/miniconda3/envs/demo2/lib/python3.12/site-packages/datasets/table.py:1421: FutureWarning: promote has been superseded by promote_options='default'.
  table = cls._concat_blocks(blocks, axis=0)
Token indices sequence length is longer than the specified maximum sequence length for this model (517864 > 131072). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (2458791 > 131072). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1061072 > 131072). Running this sequence through the model will result in indexing errors
Loading model ...
/data/xjh/model_weight/llama/llama3.2-1b
xjh_edit,load from local file:/data/xjh/dataset/c4_part,get c4
Starting ...
Ready.
0 self_attn.q_proj
Quantizing ...
0 self_attn.k_proj
Quantizing ...
0 self_attn.v_proj
Quantizing ...
0 self_attn.o_proj
Quantizing ...
0 mlp.gate_proj
Quantizing ...
0 mlp.up_proj
Quantizing ...
0 mlp.down_proj
Quantizing ...
1 self_attn.q_proj
Quantizing ...
1 self_attn.k_proj
Quantizing ...
1 self_attn.v_proj
Quantizing ...
1 self_attn.o_proj
Quantizing ...
1 mlp.gate_proj
Quantizing ...
1 mlp.up_proj
Quantizing ...
1 mlp.down_proj
Quantizing ...
2 self_attn.q_proj
Quantizing ...
2 self_attn.k_proj
Quantizing ...
2 self_attn.v_proj
Quantizing ...
2 self_attn.o_proj
Quantizing ...
2 mlp.gate_proj
Quantizing ...
2 mlp.up_proj
Quantizing ...
2 mlp.down_proj
Quantizing ...
3 self_attn.q_proj
Quantizing ...
3 self_attn.k_proj
Quantizing ...
3 self_attn.v_proj
Quantizing ...
3 self_attn.o_proj
Quantizing ...
3 mlp.gate_proj
Quantizing ...
3 mlp.up_proj
Quantizing ...
3 mlp.down_proj
Quantizing ...
4 self_attn.q_proj
Quantizing ...
4 self_attn.k_proj
Quantizing ...
4 self_attn.v_proj
Quantizing ...
4 self_attn.o_proj
Quantizing ...
4 mlp.gate_proj
Quantizing ...
4 mlp.up_proj
Quantizing ...
4 mlp.down_proj
Quantizing ...
5 self_attn.q_proj
Quantizing ...
5 self_attn.k_proj
Quantizing ...
5 self_attn.v_proj
Quantizing ...
5 self_attn.o_proj
Quantizing ...
5 mlp.gate_proj
Quantizing ...
5 mlp.up_proj
Quantizing ...
5 mlp.down_proj
Quantizing ...
6 self_attn.q_proj
Quantizing ...
6 self_attn.k_proj
Quantizing ...
6 self_attn.v_proj
Quantizing ...
6 self_attn.o_proj
Quantizing ...
6 mlp.gate_proj
Quantizing ...
6 mlp.up_proj
Quantizing ...
6 mlp.down_proj
Quantizing ...
7 self_attn.q_proj
Quantizing ...
7 self_attn.k_proj
Quantizing ...
7 self_attn.v_proj
Quantizing ...
7 self_attn.o_proj
Quantizing ...
7 mlp.gate_proj
Quantizing ...
7 mlp.up_proj
Quantizing ...
7 mlp.down_proj
Quantizing ...
8 self_attn.q_proj
Quantizing ...
8 self_attn.k_proj
Quantizing ...
8 self_attn.v_proj
Quantizing ...
8 self_attn.o_proj
Quantizing ...
8 mlp.gate_proj
Quantizing ...
8 mlp.up_proj
Quantizing ...
8 mlp.down_proj
Quantizing ...
9 self_attn.q_proj
Quantizing ...
9 self_attn.k_proj
Quantizing ...
9 self_attn.v_proj
Quantizing ...
9 self_attn.o_proj
Quantizing ...
9 mlp.gate_proj
Quantizing ...
9 mlp.up_proj
Quantizing ...
9 mlp.down_proj
Quantizing ...
10 self_attn.q_proj
Quantizing ...
10 self_attn.k_proj
Quantizing ...
10 self_attn.v_proj
Quantizing ...
10 self_attn.o_proj
Quantizing ...
10 mlp.gate_proj
Quantizing ...
10 mlp.up_proj
Quantizing ...
10 mlp.down_proj
Quantizing ...
11 self_attn.q_proj
Quantizing ...
11 self_attn.k_proj
Quantizing ...
11 self_attn.v_proj
Quantizing ...
11 self_attn.o_proj
Quantizing ...
11 mlp.gate_proj
Quantizing ...
11 mlp.up_proj
Quantizing ...
11 mlp.down_proj
Quantizing ...
12 self_attn.q_proj
Quantizing ...
12 self_attn.k_proj
Quantizing ...
12 self_attn.v_proj
Quantizing ...
12 self_attn.o_proj
Quantizing ...
12 mlp.gate_proj
Quantizing ...
12 mlp.up_proj
Quantizing ...
12 mlp.down_proj
Quantizing ...
13 self_attn.q_proj
Quantizing ...
13 self_attn.k_proj
Quantizing ...
13 self_attn.v_proj
Quantizing ...
13 self_attn.o_proj
Quantizing ...
13 mlp.gate_proj
Quantizing ...
13 mlp.up_proj
Quantizing ...
13 mlp.down_proj
Quantizing ...
14 self_attn.q_proj
Quantizing ...
14 self_attn.k_proj
Quantizing ...
14 self_attn.v_proj
Quantizing ...
14 self_attn.o_proj
Quantizing ...
14 mlp.gate_proj
Quantizing ...
14 mlp.up_proj
Quantizing ...
14 mlp.down_proj
Quantizing ...
15 self_attn.q_proj
Quantizing ...
15 self_attn.k_proj
Quantizing ...
15 self_attn.v_proj
Quantizing ...
15 self_attn.o_proj
Quantizing ...
15 mlp.gate_proj
Quantizing ...
15 mlp.up_proj
Quantizing ...
15 mlp.down_proj
Quantizing ...
quantization time: 67.35918402671814 s
